year,Month,Day,Max at 7h (�F),Min at 7h (�F),max temp,Min at 7h (�C)
1872,5,31,59,47,15,8.3
1872,6,1,58,45,14.4,7.2
1872,6,2,58,44,14.4,6.7
1872,6,3,57,48,13.9,8.9
1872,6,4,64,48,17.8,8.9
1872,6,5,60,52,15.6,11.1
1872,6,6,58,42,14.4,5.6
1872,6,7,59,44,15,6.7
1872,6,8,57,45,13.9,7.2
1872,6,9,58,47,14.4,8.3
1872,6,10,59,48,15,8.9
1872,6,11,59,48,15,8.9
1872,6,12,64,52,17.8,11.1
1872,6,13,68,53,20,11.7
1872,6,14,69,56,20.6,13.3
1872,6,15,68,55,20,12.8
1872,6,16,65,54,18.3,12.2
1872,6,17,65,55,18.3,12.8
1872,6,18,66,55,18.9,12.8
