year,temp,co2,sea_ice,temp_ireland,rainfall_ireland
-662242,,189.1,,,
-661988,,191.02,,,
-661733,211.5,,,,
-661256,,189.0,,,
-661020,211.1,,,,
-660928,,190.86,,,
-660847,,193.91,,,
-660719,,187.8,,,
-660362,211.9,,,,
-660332,,189.69,,,
-659741,212.5,,,,
-659700,,189.8,,,
-659266,,191.59,,,
-659168,,193.97,,,
-659128,212.6,,,,
-659031,,186.6,,,
-658514,,188.43,,,
-658457,211.7,,,,
-658134,,183.9,,,
-657783,211.7,,,,
-657574,,182.4,,,
-657462,,185.68,,,
-657344,,187.38,,,
-657065,211.0,,,,
-656814,,184.1,,,
-656524,,189.2,,,
-656338,210.9,,,,
-655973,,191.3,,,
-655772,,190.88,,,
-655704,,189.23,,,
-655600,210.7,,,,
-655231,,192.93,,,
-654932,,198.7,,,
-654844,210.4,,,,
-654336,,198.4,,,
-654183,,200.35,,,
-654103,210.6,,,,
-653574,,200.0,,,
-653368,210.7,,,,
-653252,,193.2,,,
-652687,211.5,,,,
-652523,,191.3,,,
-652489,,194.82,,,
-651996,211.3,,,,
-651780,,192.87,,,
-651498,,185.3,,,
-651332,211.7,,,,
-650852,,185.8,,,
-650759,,186.79,,,
-650608,210.9,,,,
-650154,,187.27,,,
-649826,210.1,,,,
-649606,,192.0,,,
-648997,,193.44,,,
-648995,209.5,,,,
-648941,,187.8,,,
-648398,,189.25,,,
-648161,209.4,,,,
-647648,,194.8,,,
-647321,209.4,,,,
-647241,,196.17,,,
-646996,,192.1,,,
-646662,,193.48,,,
-646489,209.5,,,,
-645699,210.0,,,,
-645638,,190.5,,,
-645305,,191.85,,,
-644952,210.6,,,,
-644773,,188.6,,,
-644427,,189.89,,,
-644232,211.0,,,,
-643520,,194.6,,,
-643450,210.1,,,,
-643201,,195.82,,,
-642712,,194.1,,,
-642641,209.8,,,,
-642351,,195.31,,,
-641879,210.4,,,,
-641254,,190.4,,,
-641120,210.4,,,,
-640907,,191.56,,,
-640455,,190.2,,,
-640394,210.9,,,,
-640125,,191.38,,,
-639717,211.6,,,,
-639059,211.9,,,,
-638810,,189.1,,,
-638422,,190.18,,,
-638389,211.7,,,,
-637898,,187.7,,,
-637680,211.1,,,,
-637468,,188.85,,,
-636937,210.6,,,,
-636199,210.7,,,,
-636177,,194.3,,,
-635764,,195.33,,,
-635491,211.1,,,,
-635007,,193.0,,,
-634772,210.9,,,,
-634572,,194.0,,,
-634094,211.5,,,,
-633539,,193.9,,,
-633402,211.3,,,,
-633059,,194.86,,,
-632931,,195.95,,,
-632685,210.9,,,,
-632642,,192.1,,,
-632128,,193.1,,,
-631972,210.9,,,,
-631268,211.0,,,,
-630906,,195.6,,,
-630574,211.2,,,,
-630407,,196.5,,,
-630051,,199.5,,,
-629821,210.3,,,,
-629576,,200.46,,,
-629008,209.5,,,,
-628345,,199.9,,,
-628197,209.5,,,,
-627916,,200.78,,,
-627820,,205.27,,,
-627496,,198.7,,,
-627401,209.7,,,,
-627190,,199.52,,,
-626628,210.0,,,,
-626049,,205.0,,,
-625880,,205.76,,,
-625815,209.5,,,,
-625261,,214.9,,,
